Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2
19810530	0.473	0.398	0.0	13.4	1.94	3.88	0.0	0.00	58.0	0.0	0.0	46.9	0.000	0.000	0.473
19810531	0.469	0.384	0.0	15.4	2.22	4.60	0.0	0.00	55.8	0.0	0.0	46.4	0.000	0.000	0.469
19810601	0.464	0.373	0.0	17.0	2.41	5.18	0.0	0.00	53.4	0.0	0.0	45.9	0.000	0.000	0.464
19810602	0.459	0.361	0.0	16.7	2.27	5.09	0.0	0.00	51.1	0.0	0.0	45.5	0.000	0.000	0.459
19810603	0.456	0.351	0.6	16.2	2.11	4.92	0.0	0.00	49.5	0.1	0.0	45.1	0.000	0.000	0.456
19810604	0.451	0.342	0.0	14.7	1.81	4.38	0.0	0.00	47.7	0.0	0.0	44.7	0.000	0.000	0.451
19810605	0.447	0.332	0.0	14.5	1.71	4.31	0.0	0.00	46.0	0.0	0.0	44.2	0.000	0.000	0.447
19810606	0.442	0.322	0.0	15.1	1.74	4.54	0.0	0.00	44.3	0.0	0.0	43.8	0.000	0.000	0.442
19810607	0.444	0.316	4.1	12.3	1.33	3.47	0.0	0.00	46.4	0.6	0.0	43.9	0.000	0.000	0.444
19810608	0.439	0.312	0.0	13.3	1.49	3.85	0.0	0.00	44.9	0.0	0.0	43.5	0.000	0.000	0.439
19810609	0.437	0.305	1.6	16.9	2.00	5.25	0.0	0.00	44.3	0.2	0.0	43.3	0.000	0.000	0.437
19810610	0.434	0.299	1.0	14.3	1.58	4.24	0.0	0.00	43.6	0.1	0.0	43.0	0.000	0.000	0.434
19810611	0.430	0.292	0.4	12.8	1.33	3.65	0.0	0.00	42.6	0.1	0.0	42.6	0.000	0.000	0.430
19810612	1.217	0.380	37.7	7.0	0.63	1.32	0.0	0.00	70.9	8.8	7.0	43.2	0.000	0.781	0.436
19810613	1.045	0.534	0.0	9.4	1.33	2.26	0.0	0.00	69.5	0.0	5.4	43.7	0.000	0.603	0.442
19810614	0.890	0.498	0.0	10.5	1.56	2.69	0.0	0.00	68.0	0.0	4.0	44.3	0.000	0.443	0.447
19810615	0.777	0.441	0.8	12.7	2.03	3.57	0.0	0.00	66.5	0.3	2.9	44.8	0.000	0.324	0.453
19810616	0.671	0.395	0.7	12.3	1.89	3.40	0.0	0.00	65.1	0.2	1.9	45.4	0.000	0.213	0.458
19810617	0.556	0.359	0.0	13.6	2.11	3.88	0.0	0.00	63.0	0.0	0.8	45.9	0.000	0.092	0.464
19810618	0.467	0.339	0.0	11.8	1.62	3.09	0.0	0.00	61.4	0.0	0.0	46.3	0.000	0.000	0.467
19810619	0.463	0.328	0.0	12.3	1.66	3.25	0.0	0.00	59.7	0.0	0.0	45.8	0.000	0.000	0.463
